"Device: E-TC"
"Serial Number: 20ABC75"
"Channel Count: 3"
"Sample Count: 30582"
"Start Time: 1/9/2023 12:19:43.95 PM"
"Scan Rate: 100"
"Sample","Date/Time","AI0 (°C)","AI1 (°C)","AI2 (°C)"
"0","1/9/2023 12:19:43.95 PM","11.224515915","422.022003174","23.347021103"
"1","1/9/2023 12:19:43.96 PM","11.224515915","422.022003174","23.347021103"
"2","1/9/2023 12:19:43.97 PM","11.224515915","422.022003174","23.347021103"
"3","1/9/2023 12:19:43.98 PM","11.224515915","421.059967041","23.347021103"
"4","1/9/2023 12:19:43.99 PM","11.224515915","421.059967041","23.347021103"
"5","1/9/2023 12:19:44.00 PM","11.224515915","421.059967041","23.347021103"
"6","1/9/2023 12:19:44.01 PM","11.224515915","421.059967041","23.347021103"
"7","1/9/2023 12:19:44.02 PM","11.224515915","421.059967041","23.347021103"
"8","1/9/2023 12:19:44.03 PM","11.224515915","421.059967041","23.295562744"
"9","1/9/2023 12:19:44.04 PM","11.224515915","421.059967041","23.295562744"
"10","1/9/2023 12:19:44.05 PM","11.224515915","421.059967041","23.295562744"
"11","1/9/2023 12:19:44.07 PM","11.224515915","421.059967041","23.295562744"
"12","1/9/2023 12:19:44.08 PM","11.224515915","421.059967041","23.295562744"
"13","1/9/2023 12:19:44.09 PM","11.224515915","421.059967041","23.295562744"
"14","1/9/2023 12:19:44.10 PM","11.224515915","421.059967041","23.295562744"
"15","1/9/2023 12:19:44.11 PM","11.224515915","421.059967041","23.295562744"
"16","1/9/2023 12:19:44.12 PM","11.224515915","421.059967041","23.295562744"
"17","1/9/2023 12:19:44.13 PM","11.224515915","421.059967041","23.295562744"
"18","1/9/2023 12:19:44.14 PM","11.224515915","421.059967041","23.295562744"
"19","1/9/2023 12:19:44.15 PM","11.224515915","421.059967041","23.295562744"
"20","1/9/2023 12:19:44.16 PM","11.224515915","421.059967041","23.295562744"
"21","1/9/2023 12:19:44.17 PM","11.224515915","421.059967041","23.295562744"
"22","1/9/2023 12:19:44.18 PM","11.224515915","421.059967041","23.295562744"
"23","1/9/2023 12:19:44.19 PM","11.224515915","421.059967041","23.295562744"
"24","1/9/2023 12:19:44.20 PM","11.207503319","421.059967041","23.295562744"
"25","1/9/2023 12:19:44.21 PM","11.207503319","421.059967041","23.295562744"
"26","1/9/2023 12:19:44.22 PM","11.207503319","421.059967041","23.295562744"
"27","1/9/2023 12:19:44.23 PM","11.207503319","421.059967041","23.295562744"
"28","1/9/2023 12:19:44.24 PM","11.207503319","421.059967041","23.295562744"
"29","1/9/2023 12:19:44.25 PM","11.207503319","419.881591797","23.295562744"
"30","1/9/2023 12:19:44.26 PM","11.207503319","419.881591797","23.295562744"
"31","1/9/2023 12:19:44.27 PM","11.207503319","419.881591797","23.295562744"
"32","1/9/2023 12:19:44.28 PM","11.207503319","419.881591797","23.295562744"
"33","1/9/2023 12:19:44.29 PM","11.207503319","419.881591797","23.295562744"
"34","1/9/2023 12:19:44.30 PM","11.207503319","419.881591797","23.253183365"
"35","1/9/2023 12:19:44.31 PM","11.207503319","419.881591797","23.253183365"
"36","1/9/2023 12:19:44.32 PM","11.207503319","419.881591797","23.253183365"
"37","1/9/2023 12:19:44.33 PM","11.207503319","419.881591797","23.253183365"
"38","1/9/2023 12:19:44.34 PM","11.207503319","419.881591797","23.253183365"
"39","1/9/2023 12:19:44.35 PM","11.207503319","419.881591797","23.253183365"
"40","1/9/2023 12:19:44.36 PM","11.207503319","419.881591797","23.253183365"
"41","1/9/2023 12:19:44.37 PM","11.207503319","419.881591797","23.253183365"
"42","1/9/2023 12:19:44.38 PM","11.207503319","419.881591797","23.253183365"
"43","1/9/2023 12:19:44.39 PM","11.207503319","419.881591797","23.253183365"
"44","1/9/2023 12:19:44.40 PM","11.207503319","419.881591797","23.253183365"
"45","1/9/2023 12:19:44.41 PM","11.207503319","419.881591797","23.253183365"
"46","1/9/2023 12:19:44.42 PM","11.207503319","419.881591797","23.253183365"
"47","1/9/2023 12:19:44.43 PM","11.207503319","419.881591797","23.253183365"
"48","1/9/2023 12:19:44.44 PM","11.207503319","419.881591797","23.253183365"
"49","1/9/2023 12:19:44.45 PM","11.207503319","419.881591797","23.253183365"
"50","1/9/2023 12:19:44.46 PM","11.212298393","419.881591797","23.253183365"
"51","1/9/2023 12:19:44.47 PM","11.212298393","419.881591797","23.253183365"
"52","1/9/2023 12:19:44.48 PM","11.212298393","419.881591797","23.253183365"
"53","1/9/2023 12:19:44.49 PM","11.212298393","419.881591797","23.253183365"
"54","1/9/2023 12:19:44.50 PM","11.212298393","419.881591797","23.253183365"
"55","1/9/2023 12:19:44.51 PM","11.212298393","419.881591797","23.253183365"
"56","1/9/2023 12:19:44.52 PM","11.212298393","418.770263672","23.253183365"
"57","1/9/2023 12:19:44.53 PM","11.212298393","418.770263672","23.253183365"
"58","1/9/2023 12:19:44.54 PM","11.212298393","418.770263672","23.253183365"
"59","1/9/2023 12:19:44.55 PM","11.212298393","418.770263672","23.253183365"
"60","1/9/2023 12:19:44.56 PM","11.212298393","418.770263672","23.253183365"
"61","1/9/2023 12:19:44.57 PM","11.212298393","418.770263672","23.214019775"
"62","1/9/2023 12:19:44.58 PM","11.212298393","418.770263672","23.214019775"
"63","1/9/2023 12:19:44.59 PM","11.212298393","418.770263672","23.214019775"
"64","1/9/2023 12:19:44.60 PM","11.212298393","418.770263672","23.214019775"
"65","1/9/2023 12:19:44.61 PM","11.212298393","418.770263672","23.214019775"
"66","1/9/2023 12:19:44.62 PM","11.212298393","418.770263672","23.214019775"
"67","1/9/2023 12:19:44.63 PM","11.212298393","418.770263672","23.214019775"
"68","1/9/2023 12:19:44.65 PM","11.212298393","418.770263672","23.214019775"
"69","1/9/2023 12:19:44.65 PM","11.212298393","418.770263672","23.214019775"
"70","1/9/2023 12:19:44.66 PM","11.212298393","418.770263672","23.214019775"
"71","1/9/2023 12:19:44.67 PM","11.212298393","418.770263672","23.214019775"
"72","1/9/2023 12:19:44.68 PM","11.212298393","418.770263672","23.214019775"
"73","1/9/2023 12:19:44.69 PM","11.212298393","418.770263672","23.214019775"
"74","1/9/2023 12:19:44.70 PM","11.212298393","418.770263672","23.214019775"
"75","1/9/2023 12:19:44.71 PM","11.212298393","418.770263672","23.214019775"
"76","1/9/2023 12:19:44.72 PM","11.212298393","418.770263672","23.214019775"
"77","1/9/2023 12:19:44.73 PM","11.213790894","418.770263672","23.214019775"
"78","1/9/2023 12:19:44.74 PM","11.213790894","418.770263672","23.214019775"
"79","1/9/2023 12:19:44.75 PM","11.213790894","418.770263672","23.214019775"
"80","1/9/2023 12:19:44.76 PM","11.213790894","418.770263672","23.214019775"
"81","1/9/2023 12:19:44.77 PM","11.213790894","418.770263672","23.214019775"
"82","1/9/2023 12:19:44.78 PM","11.213790894","417.733398438","23.214019775"
"83","1/9/2023 12:19:44.79 PM","11.213790894","417.733398438","23.214019775"
"84","1/9/2023 12:19:44.80 PM","11.213790894","417.733398438","23.214019775"
"85","1/9/2023 12:19:44.81 PM","11.213790894","417.733398438","23.214019775"
"86","1/9/2023 12:19:44.82 PM","11.213790894","417.733398438","23.214019775"
"87","1/9/2023 12:19:44.83 PM","11.213790894","417.733398438","23.214019775"
"88","1/9/2023 12:19:44.84 PM","11.213790894","417.733398438","23.170881271"
"89","1/9/2023 12:19:44.85 PM","11.213790894","417.733398438","23.170881271"
"90","1/9/2023 12:19:44.86 PM","11.213790894","417.733398438","23.170881271"
"91","1/9/2023 12:19:44.87 PM","11.213790894","417.733398438","23.170881271"
"92","1/9/2023 12:19:44.88 PM","11.213790894","417.733398438","23.170881271"
"93","1/9/2023 12:19:44.89 PM","11.213790894","417.733398438","23.170881271"
"94","1/9/2023 12:19:44.90 PM","11.213790894","417.733398438","23.170881271"
"95","1/9/2023 12:19:44.91 PM","11.213790894","417.733398438","23.170881271"
"96","1/9/2023 12:19:44.92 PM","11.213790894","417.733398438","23.170881271"
"97","1/9/2023 12:19:44.93 PM","11.213790894","417.733398438","23.170881271"
"98","1/9/2023 12:19:44.94 PM","11.213790894","417.733398438","23.170881271"
"99","1/9/2023 12:19:44.95 PM","11.213790894","417.733398438","23.170881271"
"100","1/9/2023 12:19:44.96 PM","11.213790894","417.733398438","23.170881271"
